,sbd,tinh,toan,van,anh,ly,hoa,sinh,su,dia,gdcd
0,1000281,S? GDÐT Hà N?i,6.6,7.25,6.6,0,0,0,6.75,7.25,6.67
0,1000282,S? GDÐT Hà N?i,7.2,8,8.6,0,0,0,6.75,8,7.75
0,1000283,S? GDÐT Hà N?i,8.6,6.5,5.2,7,5,6.5,0,0,0
0,1000284,S? GDÐT Hà N?i,7.4,8.5,7.6,0,0,0,7,9.25,7.08
0,1000285,S? GDÐT Hà N?i,8,8.5,8.2,0,0,0,6,8.75,7.25
0,1000286,S? GDÐT Hà N?i,6,7,6,0,0,0,9.25,9.5,8.92
0,1000287,S? GDÐT Hà N?i,7.6,8.25,5.6,0,0,0,6.5,7.5,6.92
0,1000288,S? GDÐT Hà N?i,6.4,7.5,5.6,0,0,0,6.25,6.5,6.25
0,1000289,S? GDÐT Hà N?i,8.2,8.5,6.4,0,0,0,7,6.75,6.33
0,1000290,S? GDÐT Hà N?i,9.4,8.5,6,0,0,0,7.75,8.5,7.08
0,1000291,S? GDÐT Hà N?i,8.8,7.5,7,0,0,0,7.75,8,7.33
0,1000292,S? GDÐT Hà N?i,7,5.75,7.6,0,0,0,8,8.75,7.25
0,1000293,S? GDÐT Hà N?i,5,5,3.2,0,0,0,4.75,7.25,6.75
0,1000294,S? GDÐT Hà N?i,7.4,6.5,4.6,0,0,0,7.25,8.75,6.58
0,1000295,S? GDÐT Hà N?i,8.6,7.75,6,0,0,0,8.5,8.25,8.33
0,1000296,S? GDÐT Hà N?i,9,8,7,7.5,6.25,7.08,0,0,0
0,1000297,S? GDÐT Hà N?i,3.6,4,0,0,0,0,0,0,0
0,1000298,S? GDÐT Hà N?i,8.6,7,6.8,5.5,4.75,6.08,0,0,0
0,1000299,S? GDÐT Hà N?i,5.4,7,6.8,0,0,0,7.5,8.25,6.67
0,1000300,S? GDÐT Hà N?i,8.8,7.75,8.4,0,0,0,7.25,8.5,8.67
0,1000301,S? GDÐT Hà N?i,9,8.5,9.4,0,0,0,7.75,9.5,8.83
0,1000302,S? GDÐT Hà N?i,7.8,6.25,4.8,0,0,0,7.75,7.75,7
0,1000303,S? GDÐT Hà N?i,8,8.5,8,0,0,0,7.75,8.5,7.33
0,1000304,S? GDÐT Hà N?i,6.4,7.25,5.8,6,5.5,5.08,0,0,0
0,1000305,S? GDÐT Hà N?i,6.8,7,5.2,0,0,0,7.25,7.5,7.08
0,1000306,S? GDÐT Hà N?i,5.8,8,6.4,0,0,0,5.75,7.25,5.92
0,1000306,S? GDÐT Hà N?i,5.8,8,6.4,0,0,0,5.75,7.25,7.33
0,1000309,S? GDÐT Hà N?i,8.4,8.25,0,0,0,0,0,0,0
0,1000310,S? GDÐT Hà N?i,8,7,8.4,0,0,0,7.75,8.75,8.42
0,1000311,S? GDÐT Hà N?i,8,4.75,8.4,0,0,0,6.75,8.75,8
